,0,1,Skill development/learning,Work-Life balance,Compensation & Benefits,Company culture,Job Security,Career growth & opportunities,Work Satisfaction,Sum
633,Nothing.,The Biggest Problem with Wipro Tech is most of the people are in support project. Night Shifts are common in almost all the projects. No work life balance. I wasted 3 Years of my life in Wipro. By the time I realised it was too late. But I did manage to get out of it. I started with an annual pay of 2.75 lakhs and the time I had left my salary was 3.25. A mere 50 K Increase in 3 Years. Managers in Wipro are like security guards their jobs is just to check who has completed 10 hours in office and who has not.,0,1,0,1,0,0,0,2
634,"Good Environment in office especially in the Digitizing Team
AVP has been very helpful",Line Manager Abhijit Pawar,0,0,0,0,0,0,0,0
635,Team bihave not good,Work time not fixed,0,1,0,0,0,0,0,1
636,Only job countinuation,everything,0,0,0,0,0,0,0,0
637,"Jet Airways was a very good company or airline it was represent our india because it was the no1. Airline of india but now it was shut down due to bad management. It gave so many opportunity, and i am very thanful that i am a part of jet airways. I have no words to say, i Proud my company",I like all the thinks but our upper level management (CEO)was not good.,0,0,0,0,0,0,0,0
638,Politics Learning,Salary/Appraisals,1,0,1,1,0,0,0,3
639,"Flexible Work Culture, ample opportunity to learn and grow",Nothing to dislike about as such apart from,1,0,0,1,0,0,0,2
640,Worked as intern. Government work culture. Very slow in terms of the getting approvals.,Slow. Not good for MBA. Slow growth. Low package.,0,0,1,0,0,1,0,2
641,Home credit india has a friendly environment between boss and employee.flexible working time with good incentive and package.,No sallery growth in field dept like another industry.heavy work pressure on f.e.,0,1,1,1,0,0,0,3
642,Good chemical safety,Environmental problem,0,0,0,0,0,0,0,0
643,"The growth opportunity offered is immense, just your will and proves will lead you miles within the organisation's management path.
Vast scale projects and ever running clock speed work, keeps fast pace and complete tentativeness.
Really a huge stepping stone for one to start their career, can lead you to many new opportunities career wise.","Pay is a bit on the downside, appraisals could be much better.",0,0,1,0,0,1,0,2
644,All Staff Worked Friendly and Office Environment Very Good,Nathing,0,0,0,0,0,0,0,0
645,"JOB SECURITY,SCOPE TO LEARN,A WELL DEVELOPED SYSTEM, OTHER BENEFITS.","POOR WORK LIFE BALANCE, HIGH PRESSURE JOB, SOME TIME LACK OF RESOURCES.",1,1,0,0,1,0,0,3
646,The company is open to innovation and readily adopts latest technology.,"Compensation is decent,but grouth is slow.",0,0,1,0,0,1,0,2
647,Working with cafe coffee day is really good experience for me. All the teammates are very good,The cafe coffee day has there own app which is cafe connect for the employees but it’s not that much satisfy. And i am not satisfying  the employees benefits or discount because some employees has the employees benefits cards now its ban,0,0,1,1,0,0,0,2
648,"Life in the Indian Army
There are various reasons to assert the claim, that my life as an Indian Army officer, was the best thing that happened in my life.
You are a class one gazetted officer at age 21 years. At the tender age you enjoy the responsibility of commanding hundred battle hardened troops placed under your command, who are ready to do and die at your order.
Human resources management and development is a constant bench mark. Training is routine. New equipment, doctrines and technology update keeps you and your men abreast. Aim of training is to eliminate enemy and protect your men.
Administration is guided by time tested systems, regulations and procedures.
Adaptability and adjustment to new terrain and environment is inbuilt and ingrained in an Army officer.
Decision making is another attribute that distinguishes a soldier from the others.
Selflessness, dedication and commitment to the impending job is total, unmindful of personal comfort. The organisation is supreme.
Strong belief in team spirit and collective achievement in organisational interest.
As an Army officer with few of the many attributes mentioned above, I have successfully contributed to the growth of the companies I served after my Retirement. I am sure a company with sound foundation will definitely benefit from my services.
Thanks to the Indian Army for having groomed and inspired me with an outstanding confidence.
WE CAN, WE WILL.","I have no words to denounce anything about the Indian Army.
There were tremendous challenges and difficulties. But then overcoming the same is something one relishes to remember.
I have completed my complete tenure with flying colours, in the Army.
I would like to be an Army officer if I am born again.
Because "" yeh Dil mange more"".
Jai Hind",1,0,1,0,0,1,1,4
649,Good company for security.,"Conpensatio is OK- OK,  but carrier growth plan is very slow,  Managers do not value an individual's unique strengths,  many times get appreciation from customer but not from some managers,  may be  you will get in mails but not in terms of awards or rewards,  no proper job training to juniors,  so senior has to bare that pain,  not right place for ambitious person.",0,0,0,0,0,0,0,0
650,"Fast decision by management, you can meet to higher-ups,","Work load is  high, senior call juniors on holidays also, which is not professional attitude. They claim they are very take care of employees but ground reality is not same. They should respect and give recognition to loyal employees who work for company day and night, there should not be use and throws approach. Jsw slould learn from tata how they take care their employees and spend very good amount of money on them and don't do much show offs. Jsw don't know how to use skills of manpower even the AGM level person is doing the same job as the new joining bcom gradute person. So you are spoiling skills of senior and making him frustrated which is not professional.",0,0,0,0,0,0,0,0
651,"I worked here 4.3 years, this is one of the great company that i have taken more experience and memories, this company has give more pleasure, i'm  great full if i get an opportunity. 
Teammates : we were 28 member in a team and worked like a family,we enjoyed this tenure.
Traning :  We used to get training every month online as well as offline trainings to each and every employees.
Career growth here is 100 times better than other companies, i personally very much satisfied my days in cap gemini.
Once again thanks to cap gemini.","i don't have any negative opinion on this company, if it is there also those all are small and silly reasons any one will have such issues. 
overall i'm satisfactory about this company.
Once i step out this company, i came to know that services which provided by cg is great , i think no other company will not give such facilities to employees.",0,0,0,0,0,0,0,0
